Date,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,Mid_Open,Mid_High,Mid_Low,Mid_Close,Volume
2014-01-01 22:00:00,86.173,86.66,85.551,85.725,86.33,86.809,85.576,85.852,86.252,86.692,85.566,85.788,92802
2014-01-02 22:00:00,85.729,86.812,85.342,86.686,85.855,86.852,85.391,86.809,85.792,86.83,85.368,86.748,84094
2014-01-05 22:00:00,86.696,86.761,86.021,86.385,86.81,86.85,86.05,86.446,86.753,86.786,86.036,86.416,93817
2014-01-06 22:00:00,86.385,86.71,86.188,86.611,86.447,86.738,86.221,86.681,86.416,86.724,86.206,86.646,94781
2014-01-07 22:00:00,86.6,87.209,86.43,86.614,86.688,87.237,86.527,86.692,86.644,87.223,86.514,86.653,95763
2014-01-08 22:00:00,86.614,86.822,86.216,86.48,86.695,86.853,86.252,86.545,86.654,86.838,86.234,86.512,84370
2014-01-09 22:00:00,86.478,86.565,85.758,86.428,86.541,86.628,86.038,86.539,86.51,86.582,85.958,86.484,102237
2014-01-12 22:00:00,86.171,86.594,85.924,86.253,86.289,86.654,85.961,86.306,86.23,86.608,85.943,86.28,101388
2014-01-13 22:00:00,86.25,87.36,86.217,87.325,86.31,87.504,86.29,87.391,86.28,87.378,86.254,87.358,97653
2014-01-14 22:00:00,87.311,87.359,86.955,87.15,87.402,87.559,86.986,87.218,87.356,87.459,86.971,87.184,86500
2014-01-15 22:00:00,87.151,87.352,86.54,87.156,87.22,87.421,86.653,87.215,87.186,87.366,86.639,87.186,92431
2014-01-16 22:00:00,87.154,87.167,85.942,85.95,87.215,87.256,86.037,86.309,87.184,87.208,86.022,86.13,75976
2014-01-19 22:00:00,85.978,86.718,85.489,86.707,86.046,86.771,85.576,86.757,86.012,86.743,85.532,86.732,70684
2014-01-20 22:00:00,86.697,87.199,86.423,86.708,86.747,87.236,86.451,86.769,86.722,87.216,86.437,86.738,81628
2014-01-21 22:00:00,86.706,87.072,86.471,86.809,86.77,87.096,86.509,86.874,86.738,87.084,86.49,86.842,81893
2014-01-22 22:00:00,86.81,86.923,85.373,85.685,86.878,86.977,85.402,85.771,86.844,86.938,85.388,85.728,121731
2014-01-23 22:00:00,85.679,85.871,83.878,83.914,85.78,85.965,83.957,84.314,85.73,85.892,83.941,84.114,142022
2014-01-26 22:00:00,84.081,84.98,83.637,84.388,84.173,85.014,83.725,84.472,84.127,84.996,83.71,84.43,126906
2014-01-27 22:00:00,84.389,85.64,84.312,84.977,84.474,85.667,84.351,85.039,84.432,85.653,84.334,85.008,95329
2014-01-28 22:00:00,84.977,85.663,83.427,83.987,85.045,85.854,83.488,84.046,85.011,85.736,83.458,84.016,143642
2014-01-29 22:00:00,83.986,84.128,83.174,83.849,84.042,84.164,83.204,83.922,84.014,84.14,83.19,83.886,115293
2014-01-30 22:00:00,83.848,84.074,82.332,82.341,83.924,84.106,82.452,82.623,83.886,84.09,82.435,82.482,122200
2014-02-02 22:00:00,82.489,83.14,81.483,81.59,82.794,83.171,81.515,81.695,82.642,83.154,81.499,81.642,119093
2014-02-03 22:00:00,81.593,83.849,81.412,83.746,81.695,84.066,81.446,83.819,81.644,83.939,81.429,83.782,131212
2014-02-04 22:00:00,83.75,83.867,82.873,83.3,83.82,83.996,82.905,83.384,83.785,83.902,82.892,83.342,117372
2014-02-05 22:00:00,83.287,84.459,83.187,84.17,83.391,84.488,83.223,84.252,83.339,84.473,83.206,84.211,94118
2014-02-06 22:00:00,84.17,84.927,83.61,84.766,84.249,85.033,83.746,85.03,84.21,84.942,83.729,84.898,99032
2014-02-09 22:00:00,84.896,84.995,84.294,84.526,85.005,85.034,84.32,84.584,84.95,85.013,84.308,84.555,64425
2014-02-10 22:00:00,84.529,85.627,84.42,85.375,84.591,85.659,84.456,85.433,84.56,85.642,84.442,85.404,74960
2014-02-11 22:00:00,85.358,85.774,85.082,85.292,85.414,85.801,85.114,85.344,85.386,85.786,85.098,85.318,68399
2014-02-12 22:00:00,85.18,85.45,84.64,85.202,85.377,85.485,84.666,85.249,85.278,85.465,84.654,85.226,89016
2014-02-13 22:00:00,85.206,85.575,84.647,85.009,85.303,85.609,84.681,85.327,85.254,85.592,84.664,85.168,81647
2014-02-16 22:00:00,85.005,85.322,84.852,85.209,85.084,85.382,84.88,85.295,85.044,85.334,84.868,85.252,57802
2014-02-17 22:00:00,85.152,85.748,84.887,84.976,85.278,85.779,84.916,85.046,85.215,85.763,84.902,85.011,92298
2014-02-18 22:00:00,85.001,85.206,84.546,84.616,85.064,85.264,84.574,84.723,85.032,85.22,84.562,84.67,81761
2014-02-19 22:00:00,84.631,85.08,83.994,84.913,84.695,85.115,84.023,84.949,84.663,85.096,84.008,84.931,93781
2014-02-20 22:00:00,84.9,85.261,84.657,84.786,84.955,85.29,84.802,84.935,84.928,85.275,84.73,84.86,67164
2014-02-23 22:00:00,84.868,85.495,84.564,85.342,84.945,85.526,84.593,85.402,84.906,85.51,84.58,85.372,69862
2014-02-24 22:00:00,85.349,85.601,84.936,85.114,85.435,85.631,84.99,85.185,85.392,85.615,84.976,85.15,69803
2014-02-25 22:00:00,85.102,85.391,84.666,85.083,85.165,85.419,84.754,85.148,85.134,85.405,84.728,85.116,78076
2014-02-26 22:00:00,85.069,85.689,84.794,85.451,85.156,85.716,84.826,85.48,85.112,85.702,84.81,85.466,80949
2014-02-27 22:00:00,85.47,85.89,85.181,85.246,85.66,85.923,85.221,85.417,85.565,85.906,85.201,85.332,93359
2014-03-02 22:00:00,84.783,85.081,84.511,84.891,84.905,85.151,84.541,84.927,84.844,85.11,84.527,84.909,87825
2014-03-03 22:00:00,84.881,85.843,84.778,85.75,84.939,85.875,84.81,85.804,84.91,85.858,84.794,85.777,78327
2014-03-04 22:00:00,85.713,86.336,85.542,86.076,85.817,86.36,85.586,86.121,85.765,86.347,85.566,86.098,75184
2014-03-05 22:00:00,86.056,87.581,86.018,87.339,86.13,87.613,86.047,87.381,86.093,87.597,86.034,87.36,79850
2014-03-06 22:00:00,87.339,87.94,87.12,87.241,87.389,88.051,87.151,87.618,87.364,87.956,87.136,87.43,78772
2014-03-09 21:00:00,87.063,87.555,87.0,87.452,87.179,87.584,87.052,87.506,87.121,87.568,87.038,87.479,68309
