Date,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,Mid_Open,Mid_High,Mid_Low,Mid_Close,Volume
2022-08-30 21:00:00,138.711,138.996,138.263,138.941,138.811,139.014,138.283,138.969,138.761,139.005,138.273,138.955,110200
2022-08-31 21:00:00,138.863,140.222,138.853,140.192,138.963,140.242,138.953,140.216,138.913,140.232,138.903,140.204,119368
2022-09-01 21:00:00,140.126,140.793,139.863,140.171,140.222,140.815,139.883,140.271,140.174,140.804,139.873,140.221,103676
2022-09-04 21:00:00,140.164,140.654,140.074,140.562,140.215,140.671,140.129,140.597,140.19,140.662,140.119,140.58,98128
2022-09-05 21:00:00,140.556,143.068,140.241,142.787,140.656,143.084,140.259,142.812,140.606,143.076,140.25,142.8,126853
2022-09-06 21:00:00,142.722,144.984,142.661,143.757,142.822,145.0,142.761,143.779,142.772,144.992,142.711,143.768,183416
2022-09-07 21:00:00,143.748,144.551,143.309,144.087,143.848,144.573,143.329,144.126,143.798,144.562,143.32,144.106,153019
2022-09-08 21:00:00,144.081,144.115,141.493,142.561,144.152,144.162,141.514,142.661,144.116,144.128,141.504,142.611,176024
2022-09-11 21:00:00,142.124,143.487,142.099,142.823,142.175,143.506,142.17,142.847,142.15,143.496,142.144,142.835,128052
2022-09-12 21:00:00,142.822,144.678,141.594,144.544,142.897,144.695,141.694,144.567,142.86,144.686,141.644,144.556,176652
2022-09-13 21:00:00,144.534,144.954,142.545,143.169,144.634,144.98,142.559,143.193,144.584,144.967,142.552,143.181,183744
2022-09-14 21:00:00,143.104,143.794,142.787,143.48,143.204,143.812,142.808,143.507,143.154,143.803,142.798,143.494,144144
2022-09-15 21:00:00,143.433,143.686,142.821,142.898,143.533,143.704,142.841,142.981,143.483,143.695,142.831,142.94,117436
2022-09-18 21:00:00,142.886,143.635,142.632,143.2,142.986,143.654,142.654,143.232,142.936,143.644,142.643,143.216,105386
2022-09-19 21:00:00,143.193,143.917,142.923,143.71,143.221,143.934,142.945,143.735,143.207,143.926,142.934,143.722,111824
2022-09-20 21:00:00,143.676,144.694,143.334,144.035,143.776,144.718,143.352,144.06,143.726,144.706,143.343,144.048,187148
2022-09-21 21:00:00,144.005,145.893,140.338,142.372,144.105,145.912,140.361,142.402,144.055,145.902,140.35,142.387,282251
2022-09-22 21:00:00,142.309,143.453,141.75,143.32,142.409,143.474,141.775,143.397,142.359,143.464,141.762,143.358,212164
2022-09-25 21:00:00,143.621,144.783,143.181,144.723,143.702,144.798,143.281,144.749,143.662,144.79,143.231,144.736,218924
2022-09-26 21:00:00,144.626,144.897,144.051,144.828,144.726,144.911,144.071,144.855,144.676,144.904,144.061,144.842,185301
2022-09-27 21:00:00,144.782,144.863,143.898,144.107,144.852,144.883,143.915,144.133,144.817,144.872,143.906,144.12,193703
2022-09-28 21:00:00,144.051,144.804,144.037,144.409,144.151,144.822,144.109,144.443,144.101,144.813,144.077,144.426,176245
2022-09-29 21:00:00,144.412,144.803,144.198,144.712,144.512,144.828,144.214,144.784,144.462,144.811,144.206,144.748,159922
2022-10-02 21:00:00,144.7,145.305,144.148,144.556,144.8,145.347,144.164,144.577,144.75,145.326,144.156,144.566,150406
2022-10-03 21:00:00,144.498,144.929,143.886,144.126,144.564,144.944,143.902,144.154,144.531,144.936,143.894,144.14,145145
2022-10-04 21:00:00,144.06,144.839,143.517,144.671,144.16,144.857,143.537,144.699,144.11,144.847,143.528,144.685,147656
2022-10-05 21:00:00,144.565,145.132,144.376,145.116,144.665,145.153,144.395,145.142,144.615,145.142,144.386,145.129,126752
2022-10-06 21:00:00,145.112,145.436,144.597,145.356,145.144,145.453,144.697,145.409,145.128,145.444,144.647,145.382,124157
2022-10-09 21:00:00,145.26,145.797,145.227,145.716,145.36,145.813,145.245,145.738,145.31,145.805,145.236,145.727,90207
2022-10-10 21:00:00,145.694,145.891,145.419,145.849,145.774,145.909,145.435,145.874,145.734,145.9,145.428,145.862,125290
2022-10-11 21:00:00,145.841,146.967,145.574,146.899,145.891,146.981,145.642,146.923,145.866,146.974,145.608,146.911,148340
2022-10-12 21:00:00,146.843,147.666,146.426,147.201,146.91,147.683,146.468,147.23,146.876,147.674,146.447,147.216,151891
2022-10-13 21:00:00,147.077,148.852,147.039,148.73,147.177,148.872,147.1,148.785,147.127,148.862,147.089,148.758,147045
2022-10-16 21:00:00,148.567,149.081,148.405,149.014,148.598,149.104,148.441,149.033,148.582,149.092,148.43,149.024,110150
2022-10-17 21:00:00,148.941,149.382,148.1,149.228,149.041,149.399,148.154,149.257,148.991,149.39,148.127,149.242,114773
2022-10-18 21:00:00,149.215,149.899,149.09,149.882,149.315,149.92,149.11,149.91,149.265,149.909,149.1,149.896,101935
2022-10-19 21:00:00,149.859,150.28,149.545,150.148,149.93,150.298,149.561,150.172,149.894,150.288,149.553,150.16,106636
2022-10-20 21:00:00,150.127,151.938,146.147,147.591,150.177,151.956,146.219,147.691,150.152,151.946,146.197,147.641,221730
2022-10-23 21:00:00,147.657,149.701,145.484,148.995,147.757,149.728,145.584,149.046,147.707,149.714,145.534,149.02,170388
2022-10-24 21:00:00,148.875,149.091,147.505,147.93,148.975,149.114,147.521,147.959,148.925,149.102,147.513,147.944,101320
2022-10-25 21:00:00,147.948,148.405,146.216,146.358,148.048,148.423,146.235,146.393,147.998,148.414,146.226,146.376,144178
2022-10-26 21:00:00,146.32,146.928,145.098,146.277,146.42,146.956,145.119,146.305,146.37,146.942,145.108,146.291,180720
2022-10-27 21:00:00,146.258,147.851,145.923,147.435,146.334,147.874,145.998,147.527,146.296,147.862,145.96,147.481,160053
2022-10-30 21:00:00,147.685,148.844,147.376,148.728,147.785,148.859,147.476,148.757,147.735,148.851,147.426,148.742,117077
2022-10-31 21:00:00,148.617,148.818,146.98,148.213,148.717,148.836,146.997,148.239,148.667,148.827,146.988,148.226,140559
2022-11-01 21:00:00,148.231,148.363,145.655,147.907,148.328,148.4,145.681,147.93,148.28,148.376,145.668,147.918,168489
2022-11-02 21:00:00,147.778,148.444,147.103,148.264,147.878,148.462,147.124,148.295,147.828,148.453,147.114,148.28,158702
2022-11-03 21:00:00,148.113,148.395,146.547,146.613,148.213,148.415,146.566,146.679,148.163,148.404,146.557,146.646,160000
2022-11-06 22:00:00,147.008,147.562,146.074,146.609,147.108,147.581,146.092,146.642,147.058,147.572,146.083,146.626,135656
2022-11-07 22:00:00,146.559,146.926,145.303,145.616,146.659,146.948,145.32,145.656,146.609,146.937,145.312,145.636,116291
2022-11-08 22:00:00,145.654,146.788,145.16,146.397,145.716,146.808,145.182,146.43,145.685,146.798,145.171,146.414,157680
2022-11-09 22:00:00,146.406,146.584,140.192,140.921,146.494,146.602,140.212,140.95,146.45,146.593,140.202,140.936,212538
2022-11-10 22:00:00,140.953,142.473,138.454,138.791,141.031,142.494,138.477,138.891,140.992,142.484,138.468,138.841,225117
2022-11-13 22:00:00,139.122,140.791,138.788,139.903,139.208,140.811,138.812,139.929,139.165,140.801,138.801,139.916,193698
2022-11-14 22:00:00,139.876,140.617,137.65,139.301,139.943,140.634,137.679,139.332,139.91,140.626,137.664,139.316,241657
2022-11-15 22:00:00,139.229,140.286,138.722,139.52,139.329,140.308,138.743,139.559,139.279,140.295,138.732,139.54,201852
2022-11-16 22:00:00,139.431,140.733,138.868,140.199,139.531,140.75,138.887,140.23,139.481,140.742,138.878,140.214,163987
2022-11-17 22:00:00,140.179,140.491,139.622,140.352,140.237,140.512,139.643,140.4,140.208,140.502,139.632,140.376,147872
2022-11-20 22:00:00,140.281,142.246,140.151,142.088,140.381,142.264,140.174,142.12,140.331,142.255,140.163,142.104,145638
2022-11-21 22:00:00,142.019,142.234,141.074,141.198,142.119,142.253,141.093,141.226,142.069,142.244,141.084,141.212,118677
2022-11-22 22:00:00,141.2,141.607,139.151,139.572,141.3,141.625,139.172,139.609,141.25,141.616,139.162,139.59,142017
2022-11-23 22:00:00,139.558,139.587,138.038,138.618,139.658,139.681,138.059,138.653,139.608,139.631,138.048,138.636,118533
2022-11-24 22:00:00,138.594,139.589,138.365,139.114,138.694,139.611,138.382,139.214,138.644,139.6,138.374,139.164,129674
2022-11-27 22:00:00,139.276,139.413,137.485,138.907,139.335,139.453,137.504,138.933,139.306,139.426,137.494,138.92,158394
2022-11-28 22:00:00,138.871,139.345,137.855,138.688,138.971,139.365,137.876,138.715,138.921,139.355,137.866,138.702,155205
2022-11-29 22:00:00,138.603,139.889,137.644,138.102,138.703,139.905,137.662,138.134,138.653,139.897,137.653,138.118,189623
2022-11-30 22:00:00,138.026,138.099,135.202,135.335,138.126,138.156,135.22,135.362,138.076,138.118,135.211,135.348,198742
2022-12-01 22:00:00,135.246,135.977,133.611,134.31,135.34,135.996,133.633,134.353,135.293,135.986,133.622,134.332,193532
2022-12-04 22:00:00,134.519,136.854,134.12,136.74,134.619,136.871,134.141,136.768,134.569,136.862,134.13,136.754,158029
2022-12-05 22:00:00,136.638,137.421,135.954,137.041,136.738,137.44,135.973,137.069,136.688,137.43,135.964,137.055,156540
2022-12-06 22:00:00,136.907,137.85,136.21,136.573,137.007,137.871,136.227,136.6,136.957,137.86,136.219,136.586,173962
2022-12-07 22:00:00,136.537,137.239,136.235,136.677,136.625,137.26,136.257,136.703,136.581,137.249,136.246,136.69,133760
2022-12-08 22:00:00,136.615,136.906,135.593,136.527,136.715,136.924,135.613,136.609,136.665,136.915,135.604,136.568,155676
2022-12-11 22:00:00,136.483,137.842,136.442,137.641,136.583,137.86,136.542,137.672,136.533,137.851,136.492,137.656,129116
2022-12-12 22:00:00,137.648,137.965,134.645,135.587,137.708,137.984,134.668,135.614,137.678,137.974,134.657,135.6,186614
2022-12-13 22:00:00,135.556,135.985,134.49,135.467,135.656,136.006,134.529,135.496,135.606,135.996,134.51,135.482,188877
2022-12-14 22:00:00,135.441,138.167,135.228,137.767,135.493,138.185,135.251,137.797,135.467,138.176,135.24,137.782,142322
2022-12-15 22:00:00,137.805,137.832,136.285,136.691,137.905,137.932,136.302,136.791,137.855,137.882,136.294,136.741,138327
2022-12-18 22:00:00,135.91,137.155,135.744,136.896,136.01,137.172,135.763,136.927,135.96,137.164,135.754,136.912,140800
2022-12-19 22:00:00,136.879,137.468,130.556,131.688,136.923,137.487,130.577,131.712,136.901,137.478,130.566,131.7,270338
2022-12-20 22:00:00,131.613,132.523,131.486,132.432,131.713,132.544,131.504,132.462,131.663,132.534,131.495,132.447,157718
2022-12-21 22:00:00,132.373,132.715,131.634,132.358,132.473,132.733,131.654,132.389,132.423,132.724,131.644,132.374,124302
2022-12-22 22:00:00,132.366,133.134,132.133,132.79,132.466,133.156,132.174,132.864,132.416,133.145,132.154,132.827,120676
2022-12-26 22:00:00,132.807,133.59,132.624,133.49,132.907,133.606,132.643,133.523,132.857,133.598,132.634,133.506,84048
2022-12-27 22:00:00,133.471,134.491,133.346,134.468,133.508,134.51,133.41,134.503,133.49,134.5,133.396,134.486,115391
2022-12-28 22:00:00,134.464,134.464,132.872,133.007,134.492,134.492,132.888,133.045,134.478,134.478,132.88,133.026,115843
2022-12-29 22:00:00,133.016,133.086,130.76,131.058,133.046,133.109,130.782,131.144,133.031,133.097,130.771,131.101,140264
2023-01-01 22:00:00,130.777,131.036,130.596,130.609,130.877,131.091,130.641,130.709,130.827,131.052,130.618,130.659,55757
2023-01-02 22:00:00,130.609,131.396,129.498,130.97,130.709,131.418,129.517,130.997,130.659,131.406,129.508,130.984,184108
2023-01-03 22:00:00,130.987,132.71,129.916,132.657,131.017,132.728,129.938,132.686,131.002,132.718,129.928,132.672,183668
2023-01-04 22:00:00,132.488,134.048,131.675,133.411,132.588,134.064,131.693,133.436,132.538,134.055,131.684,133.424,181756
2023-01-05 22:00:00,133.379,134.769,131.986,132.069,133.448,134.793,132.002,132.119,133.414,134.778,131.994,132.094,186191
2023-01-08 22:00:00,131.888,132.649,131.297,131.861,131.988,132.669,131.318,131.894,131.938,132.658,131.308,131.878,156528
2023-01-09 22:00:00,131.766,132.473,131.376,132.223,131.866,132.489,131.395,132.247,131.816,132.481,131.386,132.235,154599
2023-01-10 22:00:00,132.067,132.866,132.058,132.496,132.167,132.884,132.077,132.516,132.117,132.875,132.068,132.506,136576
2023-01-11 22:00:00,132.414,132.463,128.85,129.29,132.476,132.56,128.877,129.313,132.445,132.51,128.864,129.302,231655
2023-01-12 22:00:00,129.196,129.418,127.452,127.833,129.296,129.456,127.469,127.881,129.246,129.436,127.46,127.857,195332
2023-01-15 22:00:00,127.773,128.86,127.21,128.51,127.873,128.879,127.231,128.539,127.823,128.869,127.22,128.524,151946
2023-01-16 22:00:00,128.462,129.157,127.983,128.146,128.562,129.178,128.002,128.165,128.512,129.168,127.992,128.156,167112
2023-01-17 22:00:00,128.088,131.566,127.557,128.891,128.188,131.595,127.574,128.917,128.138,131.58,127.566,128.904,280493
2023-01-18 22:00:00,128.786,128.859,127.752,128.414,128.886,128.937,127.772,128.433,128.836,128.894,127.762,128.424,196583
2023-01-19 22:00:00,128.382,130.605,128.339,129.537,128.472,130.625,128.357,129.6,128.427,130.614,128.348,129.568,175659
2023-01-22 22:00:00,129.463,130.883,129.033,130.669,129.537,130.9,129.054,130.696,129.5,130.892,129.044,130.682,157691
2023-01-23 22:00:00,130.622,131.111,129.718,130.188,130.673,131.129,129.737,130.212,130.648,131.12,129.728,130.2,132181
2023-01-24 22:00:00,130.153,130.576,129.259,129.565,130.213,130.596,129.275,129.59,130.183,130.586,129.268,129.578,148981
2023-01-25 22:00:00,129.565,130.612,129.015,130.226,129.665,130.63,129.034,130.249,129.615,130.621,129.024,130.238,166755
2023-01-26 22:00:00,130.175,130.259,129.486,129.802,130.267,130.283,129.505,129.862,130.221,130.269,129.496,129.832,160925
2023-01-29 22:00:00,129.608,130.563,129.191,130.419,129.708,130.579,129.214,130.442,129.658,130.57,129.202,130.43,147506
2023-01-30 22:00:00,130.41,130.526,129.737,130.085,130.462,130.54,129.753,130.112,130.436,130.533,129.745,130.098,139784
2023-01-31 22:00:00,130.042,130.405,128.527,128.91,130.123,130.419,128.547,128.932,130.082,130.411,128.537,128.921,168825
2023-02-01 22:00:00,128.935,129.133,128.076,128.702,129.035,129.154,128.091,128.727,128.985,129.144,128.084,128.714,182229
2023-02-02 22:00:00,128.628,131.198,128.32,131.188,128.728,131.229,128.338,131.225,128.678,131.206,128.329,131.206,164768
2023-02-05 22:00:00,132.322,132.9,131.502,132.619,132.422,132.917,131.524,132.645,132.372,132.908,131.514,132.632,153984
2023-02-06 22:00:00,132.634,132.701,130.467,131.051,132.734,132.734,130.487,131.074,132.684,132.712,130.477,131.062,200337
2023-02-07 22:00:00,131.123,131.53,130.589,131.441,131.223,131.548,130.604,131.461,131.173,131.538,130.596,131.451,155725
2023-02-08 22:00:00,131.404,131.82,130.333,131.512,131.475,131.841,130.35,131.534,131.44,131.829,130.342,131.523,160612
2023-02-09 22:00:00,131.549,131.882,129.791,131.403,131.621,131.906,129.815,131.454,131.585,131.894,129.803,131.428,205640
2023-02-12 22:00:00,131.27,132.905,131.27,132.411,131.37,132.92,131.37,132.436,131.32,132.912,131.32,132.424,139853
2023-02-13 22:00:00,132.38,133.308,131.478,133.093,132.48,133.327,131.517,133.114,132.43,133.318,131.504,133.104,209882
2023-02-13 22:00:00,132.38,133.308,131.478,133.093,132.48,133.327,131.517,133.114,132.43,133.318,131.504,133.104,209882
2023-02-14 22:00:00,133.087,134.353,132.538,134.152,133.187,134.369,132.556,134.178,133.137,134.361,132.547,134.165,156195
2023-02-15 22:00:00,134.118,134.457,133.596,133.935,134.218,134.473,133.613,133.958,134.168,134.464,133.605,133.946,164801
2023-02-16 22:00:00,133.96,135.111,133.914,134.142,134.045,135.127,133.961,134.187,134.002,135.118,133.94,134.164,138224
2023-02-19 22:00:00,134.209,134.533,133.914,134.269,134.309,134.55,133.932,134.295,134.259,134.542,133.923,134.282,107216
2023-02-20 22:00:00,134.22,135.222,134.141,135.007,134.288,135.237,134.16,135.028,134.254,135.228,134.151,135.018,138290
2023-02-21 22:00:00,134.981,135.054,134.358,134.898,135.033,135.072,134.375,134.926,135.007,135.062,134.366,134.912,147756
2023-02-22 22:00:00,134.806,135.36,134.48,134.675,134.906,135.38,134.495,134.699,134.856,135.37,134.488,134.687,118869
2023-02-23 22:00:00,134.672,136.513,134.049,136.471,134.722,136.531,134.071,136.512,134.697,136.522,134.06,136.492,170677
