Date,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,Mid_Open,Mid_High,Mid_Low,Mid_Close,Volume
2014-01-01 22:00:00,1.6562,1.65893,1.65502,1.65836,1.65702,1.65971,1.65641,1.6587,1.65661,1.65926,1.65588,1.65853,11405
2014-01-02 02:00:00,1.65835,1.66022,1.65779,1.65994,1.65872,1.66053,1.65814,1.66027,1.65854,1.66032,1.65801,1.6601,14597
2014-01-02 06:00:00,1.65995,1.66006,1.65305,1.65429,1.66026,1.66033,1.65459,1.65459,1.6601,1.66018,1.65398,1.65444,26406
2014-01-02 10:00:00,1.6543,1.65566,1.64623,1.64817,1.65458,1.65593,1.64649,1.64834,1.65444,1.65579,1.64636,1.64826,25015
2014-01-02 14:00:00,1.64814,1.64853,1.6408,1.6442,1.64833,1.64873,1.64127,1.64442,1.64824,1.64862,1.64104,1.64431,23288
2014-01-02 18:00:00,1.6442,1.6451,1.64208,1.64493,1.64441,1.64572,1.64231,1.64544,1.6443,1.64536,1.6422,1.64518,8061
2014-01-02 22:00:00,1.6449,1.64579,1.64371,1.64427,1.64551,1.64614,1.64426,1.64449,1.6452,1.6459,1.64416,1.64438,5832
2014-01-03 02:00:00,1.64425,1.64485,1.64204,1.64362,1.64449,1.64507,1.6424,1.6438,1.64437,1.64496,1.64226,1.64371,7123
2014-01-03 06:00:00,1.64359,1.64638,1.64282,1.6455,1.64378,1.64655,1.64305,1.64572,1.64368,1.64646,1.64294,1.64561,12892
2014-01-03 10:00:00,1.6455,1.64731,1.64006,1.64151,1.64571,1.64757,1.6403,1.64166,1.6456,1.64744,1.64018,1.64158,18060
2014-01-03 14:00:00,1.64152,1.64434,1.63943,1.64263,1.64165,1.6446,1.63968,1.64282,1.64158,1.64446,1.63956,1.64272,17303
2014-01-03 18:00:00,1.64263,1.64337,1.6401,1.64156,1.6428,1.6436,1.64034,1.64233,1.64272,1.64348,1.64022,1.64194,7547
