Date,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,Mid_Open,Mid_High,Mid_Low,Mid_Close,Volume
2021-01-03 22:00:00,126.133,126.261,126.114,126.204,126.283,126.411,126.264,126.354,126.208,126.336,126.189,126.279,92
2021-01-03 22:15:00,126.236,126.286,126.21,126.274,126.339,126.436,126.339,126.424,126.288,126.361,126.285,126.349,37
2021-01-03 22:30:00,126.281,126.289,126.19,126.2,126.431,126.439,126.34,126.35,126.356,126.364,126.265,126.275,86
2021-01-03 22:45:00,126.206,126.224,126.188,126.213,126.356,126.357,126.334,126.341,126.281,126.29,126.263,126.277,11
2021-01-03 23:00:00,126.216,126.384,126.216,126.381,126.35,126.438,126.293,126.412,126.283,126.4,126.271,126.396,206
2021-01-03 23:15:00,126.379,126.437,126.344,126.422,126.408,126.459,126.369,126.445,126.394,126.448,126.356,126.434,147
2021-01-03 23:30:00,126.425,126.497,126.383,126.487,126.448,126.515,126.402,126.505,126.436,126.506,126.392,126.496,204
2021-01-03 23:45:00,126.484,126.515,126.444,126.469,126.501,126.534,126.463,126.488,126.492,126.524,126.454,126.478,232
2021-01-04 00:00:00,126.466,126.471,126.281,126.281,126.484,126.489,126.296,126.296,126.475,126.48,126.288,126.288,403
2021-01-04 00:15:00,126.278,126.322,126.253,126.256,126.292,126.34,126.268,126.273,126.285,126.331,126.26,126.264,262
2021-01-04 00:30:00,126.253,126.253,126.101,126.132,126.269,126.269,126.127,126.148,126.261,126.261,126.114,126.14,305
2021-01-04 00:45:00,126.135,126.187,126.094,126.148,126.151,126.205,126.109,126.167,126.143,126.196,126.102,126.158,339
2021-01-04 01:00:00,126.145,126.274,126.138,126.25,126.164,126.29,126.155,126.268,126.154,126.281,126.146,126.259,285
2021-01-04 01:15:00,126.248,126.287,126.205,126.257,126.263,126.304,126.224,126.275,126.256,126.296,126.214,126.266,224
2021-01-04 01:30:00,126.261,126.29,126.211,126.263,126.277,126.308,126.228,126.279,126.269,126.298,126.22,126.271,275
2021-01-04 01:45:00,126.257,126.293,126.231,126.262,126.279,126.311,126.248,126.28,126.268,126.302,126.24,126.271,251
2021-01-04 02:00:00,126.266,126.319,126.226,126.297,126.282,126.336,126.243,126.314,126.274,126.328,126.234,126.306,257
2021-01-04 02:15:00,126.299,126.317,126.192,126.239,126.318,126.334,126.212,126.255,126.308,126.326,126.202,126.247,195
2021-01-04 02:30:00,126.242,126.269,126.178,126.184,126.258,126.286,126.195,126.201,126.25,126.278,126.186,126.192,192
2021-01-04 02:45:00,126.181,126.207,126.154,126.185,126.198,126.221,126.173,126.201,126.19,126.214,126.164,126.193,176
2021-01-04 03:00:00,126.188,126.211,126.159,126.205,126.204,126.227,126.175,126.22,126.196,126.219,126.167,126.212,133
2021-01-04 03:15:00,126.201,126.231,126.183,126.224,126.218,126.252,126.198,126.241,126.21,126.242,126.19,126.232,109
2021-01-04 03:30:00,126.221,126.227,126.115,126.138,126.238,126.243,126.135,126.154,126.23,126.235,126.125,126.146,173
2021-01-04 03:45:00,126.133,126.174,126.113,126.157,126.152,126.189,126.128,126.171,126.142,126.182,126.12,126.164,103
2021-01-04 04:00:00,126.154,126.163,126.117,126.146,126.168,126.178,126.134,126.164,126.161,126.17,126.126,126.155,89
2021-01-04 04:15:00,126.144,126.171,126.129,126.154,126.16,126.188,126.144,126.171,126.152,126.18,126.136,126.162,76
2021-01-04 04:30:00,126.157,126.18,126.119,126.16,126.175,126.197,126.136,126.177,126.166,126.188,126.128,126.168,125
2021-01-04 04:45:00,126.157,126.163,126.123,126.154,126.173,126.179,126.138,126.168,126.165,126.17,126.13,126.161,98
2021-01-04 05:00:00,126.149,126.193,126.119,126.159,126.167,126.208,126.136,126.176,126.158,126.2,126.128,126.168,107
2021-01-04 05:15:00,126.156,126.178,126.135,126.163,126.173,126.196,126.151,126.177,126.164,126.187,126.144,126.17,115
