Date,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,Mid_Open,Mid_High,Mid_Low,Mid_Close,Volume
2022-08-30 21:00:00,95.043,95.561,94.886,95.062,95.143,95.581,94.904,95.083,95.093,95.571,94.895,95.072,141423
2022-08-31 21:00:00,95.009,95.366,94.757,95.163,95.105,95.386,94.776,95.186,95.057,95.376,94.766,95.174,156098
2022-09-01 21:00:00,95.121,96.033,95.006,95.455,95.188,96.054,95.023,95.556,95.154,96.044,95.015,95.506,144158
2022-09-04 21:00:00,95.024,95.598,94.972,95.559,95.084,95.619,95.047,95.583,95.054,95.608,95.023,95.571,115999
2022-09-05 21:00:00,95.559,96.512,95.473,96.173,95.643,96.53,95.503,96.197,95.601,96.521,95.488,96.185,160703
2022-09-06 21:00:00,96.127,97.393,95.989,97.3,96.206,97.412,96.012,97.321,96.166,97.402,96.0,97.31,206203
2022-09-07 21:00:00,97.292,97.489,96.633,97.268,97.372,97.513,96.655,97.292,97.332,97.5,96.644,97.28,201936
2022-09-08 21:00:00,97.258,97.91,97.064,97.58,97.323,97.93,97.085,97.655,97.29,97.92,97.074,97.618,177429
2022-09-11 21:00:00,97.08,98.386,97.051,98.384,97.165,98.404,97.145,98.401,97.122,98.394,97.112,98.392,165650
2022-09-12 21:00:00,98.372,98.938,97.188,97.298,98.452,99.088,97.208,97.318,98.412,99.013,97.198,97.308,200674
2022-09-13 21:00:00,97.248,97.599,95.976,96.595,97.353,97.622,95.996,96.614,97.3,97.61,95.986,96.604,218866
2022-09-14 21:00:00,96.572,97.126,96.089,96.146,96.651,97.145,96.11,96.159,96.612,97.134,96.1,96.152,174687
2022-09-15 21:00:00,96.089,96.427,95.543,96.043,96.212,96.448,95.563,96.103,96.15,96.438,95.553,96.073,169600
2022-09-18 21:00:00,95.955,96.351,95.711,96.321,96.105,96.369,95.728,96.343,96.03,96.36,95.72,96.332,137412
2022-09-19 21:00:00,96.295,96.535,95.883,96.11,96.399,96.557,95.904,96.13,96.347,96.546,95.894,96.12,148088
2022-09-20 21:00:00,96.083,96.256,95.43,95.518,96.193,96.344,95.451,95.544,96.138,96.269,95.442,95.531,221789
2022-09-21 21:00:00,95.443,96.404,93.557,94.584,95.581,96.421,93.58,94.608,95.512,96.412,93.568,94.596,286108
2022-09-22 21:00:00,94.511,94.71,93.378,93.591,94.632,94.735,93.396,93.741,94.572,94.722,93.387,93.666,220513
2022-09-25 21:00:00,93.587,94.02,93.139,93.411,93.696,94.042,93.158,93.432,93.642,94.031,93.148,93.422,291998
2022-09-26 21:00:00,93.322,93.955,92.904,93.182,93.444,93.973,92.923,93.201,93.383,93.964,92.914,93.192,243571
2022-09-27 21:00:00,93.124,94.024,92.118,93.983,93.227,94.043,92.138,94.007,93.176,94.034,92.128,93.995,292175
2022-09-28 21:00:00,93.926,94.034,93.116,93.847,93.992,94.111,93.135,93.868,93.959,94.046,93.126,93.858,289676
2022-09-29 21:00:00,93.82,94.208,92.511,92.62,93.97,94.23,92.533,92.77,93.895,94.218,92.522,92.695,287282
2022-10-02 21:00:00,92.66,94.349,92.59,94.199,92.81,94.367,92.634,94.219,92.735,94.358,92.616,94.209,234340
2022-10-03 21:00:00,94.153,94.685,93.202,93.722,94.248,94.71,93.222,93.74,94.2,94.698,93.212,93.731,246247
2022-10-04 21:00:00,93.617,94.08,92.92,93.892,93.736,94.1,92.94,93.914,93.676,94.09,92.93,93.903,232544
2022-10-05 21:00:00,93.793,94.529,92.631,93.041,93.922,94.548,92.65,93.061,93.858,94.538,92.64,93.051,248320
2022-10-06 21:00:00,92.962,93.223,92.393,92.456,93.08,93.244,92.422,92.606,93.021,93.232,92.412,92.531,216179
