Date,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,Mid_Open,Mid_High,Mid_Low,Mid_Close,Volume
2021-08-31 05:00:00,109.903,109.914,109.773,109.896,109.917,109.927,109.785,109.908,109.91,109.92,109.779,109.902,9007
2021-08-31 09:00:00,109.897,109.951,109.639,109.705,109.909,109.964,109.656,109.718,109.903,109.957,109.648,109.712,14443
2021-08-31 13:00:00,109.707,110.072,109.581,109.962,109.719,110.087,109.594,109.975,109.713,110.08,109.588,109.968,25997
2021-08-31 17:00:00,109.964,110.028,109.926,109.991,109.977,110.043,109.942,110.005,109.97,110.036,109.934,109.998,6335
2021-08-31 21:00:00,109.99,110.197,109.976,110.176,110.035,110.21,109.993,110.19,110.012,110.203,109.984,110.183,5451
2021-09-01 01:00:00,110.178,110.231,110.149,110.227,110.19,110.245,110.163,110.242,110.184,110.238,110.156,110.234,7257
2021-09-01 05:00:00,110.227,110.414,110.16,110.366,110.239,110.427,110.174,110.379,110.233,110.42,110.167,110.372,12230
2021-09-01 09:00:00,110.365,110.385,110.01,110.019,110.378,110.398,110.023,110.033,110.372,110.391,110.016,110.026,14862
2021-09-01 13:00:00,110.018,110.122,109.874,110.034,110.032,110.136,109.886,110.048,110.025,110.129,109.88,110.041,19545
2021-09-01 17:00:00,110.033,110.069,109.921,110.021,110.046,110.084,109.935,110.041,110.04,110.076,109.928,110.031,4696
2021-09-01 21:00:00,109.978,110.115,109.91,109.971,110.073,110.129,109.924,109.983,110.026,110.122,109.917,109.977,5456
2021-09-02 01:00:00,109.973,110.023,109.92,110.023,109.984,110.035,109.934,110.034,109.978,110.029,109.927,110.028,4324
2021-09-02 05:00:00,110.021,110.072,109.94,109.996,110.034,110.084,109.952,110.009,110.028,110.078,109.946,110.002,7713
2021-09-02 09:00:00,109.998,110.053,109.945,110.014,110.01,110.067,109.959,110.027,110.004,110.06,109.952,110.02,8402
2021-09-02 13:00:00,110.016,110.086,109.947,110.0,110.028,110.099,109.96,110.014,110.022,110.092,109.954,110.007,11511
2021-09-02 17:00:00,110.001,110.006,109.922,109.927,110.015,110.02,109.935,109.944,110.008,110.013,109.929,109.936,3699
2021-09-02 21:00:00,109.914,109.973,109.877,109.882,109.977,110.008,109.89,109.895,109.946,109.98,109.884,109.888,3502
2021-09-03 01:00:00,109.88,110.067,109.788,110.024,109.894,110.082,109.801,110.038,109.887,110.074,109.794,110.031,11115
