Date,Currency_Code,Impact,Actual,Previous
2018-01-08T10:00:00.000Z,EUR,,1,0
2018-01-08T10:00:00.000Z,EUR,,1,-1
2018-01-08T11:30:00.000Z,,,0,0
2018-01-08T14:00:00.000Z,EUR,,0,0
2018-01-08T17:40:00.000Z,USD,,0,0
2018-01-08T18:35:00.000Z,USD,,0,0
2018-01-08T20:00:00.000Z,USD,low,1,0
2018-01-08T21:00:00.000Z,USD,,0,0
2018-01-09T00:30:00.000Z,AUD,high,1,-1
2018-01-09T00:30:00.000Z,AUD,med,0,0
2018-01-09T05:00:00.000Z,JPY,low,-1,0
2018-01-09T06:45:00.000Z,CHF,low,0,-1
2018-01-09T07:00:00.000Z,EUR,med,1,1
2018-01-09T07:00:00.000Z,EUR,med,1,1
2018-01-09T07:00:00.000Z,EUR,low,1,0
2018-01-09T07:00:00.000Z,EUR,low,1,0
2018-01-09T07:45:00.000Z,EUR,low,-1,0
2018-01-09T07:45:00.000Z,EUR,med,0,-1
2018-01-09T09:00:00.000Z,EUR,med,0,0
2018-01-09T11:00:00.000Z,USD,med,-1,0
2018-01-09T13:15:00.000Z,CAD,,1,0
2018-01-09T15:00:00.000Z,USD,,0,0
2018-01-10T01:30:00.000Z,CNY,med,-1,0
2018-01-10T01:30:00.000Z,CNY,med,1,0
2018-01-10T07:45:00.000Z,EUR,med,1,0
2018-01-10T07:45:00.000Z,EUR,med,0,0
2018-01-10T07:45:00.000Z,EUR,med,-1,0
2018-01-10T07:45:00.000Z,EUR,med,1,0
2018-01-10T08:30:00.000Z,GBP,med,-1,1
2018-01-10T08:30:00.000Z,GBP,med,1,1
2018-01-10T08:30:00.000Z,GBP,med,1,-1
2018-01-10T08:30:00.000Z,GBP,high,1,1
2018-01-10T09:30:00.000Z,GBP,med,-1,-1
2018-01-10T09:30:00.000Z,GBP,med,-1,-1
2018-01-10T09:30:00.000Z,GBP,med,1,1
2018-01-10T09:30:00.000Z,GBP,med,0,1
2018-01-10T13:00:00.000Z,GBP,med,1,1
2018-01-10T13:30:00.000Z,CAD,med,-1,1
2018-01-10T13:30:00.000Z,USD,,-1,0
2018-01-10T14:00:00.000Z,USD,,0,0
2018-01-10T14:10:00.000Z,USD,,0,0
2018-01-10T15:00:00.000Z,USD,low,-1,0
2018-01-10T18:30:00.000Z,USD,,0,0
2018-01-11T00:30:00.000Z,AUD,high,1,0
2018-01-11T05:00:00.000Z,JPY,low,0,0
2018-01-11T09:00:00.000Z,EUR,med,-1,0
2018-01-11T09:30:00.000Z,GBP,,0,0
2018-01-11T10:00:00.000Z,EUR,med,1,1
2018-01-11T10:00:00.000Z,EUR,med,1,1
2018-01-11T13:30:00.000Z,CAD,low,-1,0
2018-01-11T13:30:00.000Z,USD,high,-1,0
2018-01-11T13:30:00.000Z,USD,med,-1,0
2018-01-11T13:30:00.000Z,USD,med,-1,0
2018-01-11T18:30:00.000Z,EUR,,0,0
2018-01-11T19:00:00.000Z,USD,low,1,0
2018-01-11T20:30:00.000Z,USD,,0,0
2018-01-11T21:45:00.000Z,NZD,med,0,-1
2018-01-11T23:50:00.000Z,JPY,low,0,0
2018-01-11T23:50:00.000Z,JPY,med,-1,0
2018-01-12T00:00:00.000Z,CNY,,1,0
2018-01-12T00:00:00.000Z,CNY,,-1,0
2018-01-12T00:00:00.000Z,CNY,med,1,0
2018-01-12T05:00:00.000Z,JPY,med,-1,0
2018-01-12T07:45:00.000Z,EUR,low,0,0
2018-01-12T07:45:00.000Z,EUR,low,0,0
2018-01-12T07:45:00.000Z,EUR,low,-1,0
2018-01-12T07:45:00.000Z,EUR,low,0,0
2018-01-12T13:30:00.000Z,USD,high,0,1
2018-01-12T13:30:00.000Z,USD,high,-1,1
2018-01-12T13:30:00.000Z,USD,high,1,0
2018-01-12T13:30:00.000Z,USD,high,0,0
2018-01-12T15:00:00.000Z,USD,med,0,0
2018-01-12T16:30:00.000Z,EUR,,0,0
2018-01-12T17:00:00.000Z,USD,,0,0
2018-01-12T21:15:00.000Z,USD,high,0,0
2018-01-14T21:45:00.000Z,NZD,med,0,0
2018-01-14T23:50:00.000Z,JPY,med,-1,0
2018-01-15,CNY,med,-1,0
2018-01-15,CNY,med,-1,0
2018-01-15,CNY,med,-1,-1
2018-01-15,USD,,0,0
2018-01-15T00:01:00.000Z,GBP,med,0,1
2018-01-15T00:01:00.000Z,GBP,med,0,-1
2018-01-15T10:00:00.000Z,EUR,low,1,0
2018-01-15T10:00:00.000Z,EUR,med,0,0
2018-01-15T18:15:00.000Z,GBP,,0,0
2018-01-15T21:00:00.000Z,NZD,,0,0
2018-01-15T21:45:00.000Z,NZD,low,0,1
2018-01-15T23:50:00.000Z,JPY,,-1,1
2018-01-15T23:50:00.000Z,JPY,med,-1,1
2018-01-16T00:30:00.000Z,AUD,low,0,1
2018-01-16T00:30:00.000Z,AUD,low,0,1
2018-01-16T04:30:00.000Z,JPY,low,1,0
2018-01-16T07:00:00.000Z,EUR,med,0,0
2018-01-16T07:00:00.000Z,EUR,low,0,0
2018-01-16T07:00:00.000Z,EUR,low,0,0
2018-01-16T07:00:00.000Z,EUR,med,0,0
2018-01-16T07:00:00.000Z,EUR,low,0,0
2018-01-16T07:00:00.000Z,EUR,low,0,0
2018-01-16T09:15:00.000Z,GBP,,0,0
2018-01-16T09:30:00.000Z,GBP,high,0,0
2018-01-16T09:30:00.000Z,GBP,high,0,0
2018-01-16T09:30:00.000Z,GBP,low,1,0
2018-01-16T09:30:00.000Z,GBP,low,1,1
2018-01-16T09:30:00.000Z,GBP,med,-1,-1
2018-01-16T09:30:00.000Z,GBP,med,-1,0
2018-01-16T13:30:00.000Z,USD,med,-1,1
2018-01-16T17:00:00.000Z,CHF,high,0,0
2018-01-16T23:50:00.000Z,JPY,med,1,0
2018-01-16T23:50:00.000Z,JPY,med,1,0
2018-01-17T00:00:00.000Z,NZD,med,0,0
2018-01-17T00:30:00.000Z,AUD,med,1,0
2018-01-17T00:30:00.000Z,AUD,med,0,0
2018-01-17T10:00:00.000Z,EUR,med,0,0
2018-01-17T10:00:00.000Z,EUR,med,0,0
2018-01-17T10:00:00.000Z,EUR,med,0,-1
2018-01-17T11:45:00.000Z,GBP,,0,0
2018-01-17T14:15:00.000Z,USD,med,1,1
2018-01-17T14:15:00.000Z,USD,med,1,-1
2018-01-17T15:00:00.000Z,CAD,high,0,0
2018-01-17T15:00:00.000Z,CAD,high,0,0
2018-01-17T15:00:00.000Z,USD,low,0,0
2018-01-17T15:00:00.000Z,USD,,0,0
2018-01-17T16:15:00.000Z,CAD,high,0,0
2018-01-17T19:00:00.000Z,USD,,0,0
2018-01-17T20:00:00.000Z,USD,,0,0
2018-01-17T21:00:00.000Z,USD,low,0,1
2018-01-17T21:30:00.000Z,USD,,0,0
2018-01-18T00:01:00.000Z,GBP,med,1,0
2018-01-18T00:30:00.000Z,AUD,high,-1,0
2018-01-18T00:30:00.000Z,AUD,high,1,1
2018-01-18T03:35:00.000Z,JPY,,0,0
2018-01-18T03:45:00.000Z,JPY,,0,0
2018-01-18T04:30:00.000Z,JPY,low,0,0
2018-01-18T04:30:00.000Z,JPY,med,0,0
2018-01-18T04:30:00.000Z,JPY,med,0,0
2018-01-18T07:00:00.000Z,CNY,med,-1,0
2018-01-18T07:00:00.000Z,CNY,,1,0
2018-01-18T07:00:00.000Z,CNY,,1,0
2018-01-18T08:15:00.000Z,EUR,,0,0
2018-01-18T08:15:00.000Z,,,0,0
2018-01-18T13:30:00.000Z,USD,med,1,1
2018-01-18T13:30:00.000Z,USD,med,-1,1
2018-01-18T13:30:00.000Z,USD,med,-1,1
2018-01-18T13:30:00.000Z,USD,med,1,0
2018-01-18T13:30:00.000Z,CAD,,0,0
2018-01-18T14:30:00.000Z,EUR,,0,0
2018-01-18T17:30:00.000Z,EUR,,0,0
2018-01-19,,,0,0
2018-01-19T07:00:00.000Z,EUR,low,0,0
2018-01-19T07:00:00.000Z,EUR,low,0,0
2018-01-19T08:15:00.000Z,CHF,med,0,0
2018-01-19T08:15:00.000Z,CHF,med,0,0
2018-01-19T09:00:00.000Z,EUR,low,0,-1
2018-01-19T09:00:00.000Z,EUR,low,0,-1
2018-01-19T09:00:00.000Z,,,0,0
2018-01-19T09:30:00.000Z,GBP,high,-1,-1
2018-01-19T09:30:00.000Z,GBP,high,-1,-1
2018-01-19T09:30:00.000Z,GBP,high,-1,-1
2018-01-19T09:30:00.000Z,GBP,high,-1,0
2018-01-19T13:30:00.000Z,CAD,med,1,-1
2018-01-19T13:45:00.000Z,USD,,0,0
2018-01-19T15:00:00.000Z,USD,high,-1,0
2018-01-19T18:00:00.000Z,USD,,0,0
2018-01-19T18:30:00.000Z,USD,,0,0
2018-01-22,JPY,high,0,0
2018-01-22,EUR,,0,0
2018-01-22T09:30:00.000Z,GBP,med,0,0
2018-01-22T13:30:00.000Z,CAD,low,-1,1
2018-01-22T13:40:00.000Z,CNY,,0,0
2018-01-23T00:00:00.000Z,JPY,,0,0
2018-01-23,EUR,,0,0
2018-01-23T00:00:00.000Z,JPY,med,0,0
2018-01-23,JPY,,0,0
2018-01-23,,high,0,0
2018-01-23,,,0,0
2018-01-23T04:30:00.000Z,JPY,low,1,0
2018-01-23T05:30:00.000Z,JPY,med,0,0
2018-01-23T09:30:00.000Z,GBP,med,0,1
2018-01-23T09:30:00.000Z,GBP,med,1,0
2018-01-23T09:30:00.000Z,GBP,med,-1,-1
2018-01-23T10:00:00.000Z,EUR,high,0,0
2018-01-23T10:00:00.000Z,EUR,med,0,0
2018-01-23T10:00:00.000Z,EUR,med,1,0
2018-01-23T10:00:00.000Z,EUR,med,1,0
2018-01-23T11:00:00.000Z,GBP,med,1,0
2018-01-23T15:00:00.000Z,EUR,med,1,0
2018-01-23T23:30:00.000Z,AUD,low,0,-1
2018-01-23T23:30:00.000Z,USD,,0,0
2018-01-23T23:50:00.000Z,JPY,med,1,0
2018-01-23T23:50:00.000Z,JPY,med,-1,0
2018-01-23T23:50:00.000Z,JPY,med,-1,-1
2018-01-23T23:50:00.000Z,JPY,med,-1,1
2018-01-24T00:00:00.000Z,AUD,low,0,1
2018-01-24T05:00:00.000Z,JPY,low,0,0
2018-01-24T08:00:00.000Z,EUR,low,-1,0
2018-01-24T08:00:00.000Z,EUR,low,1,0
2018-01-24T08:00:00.000Z,EUR,,1,0
2018-01-24T08:15:00.000Z,EUR,,0,0
2018-01-24T08:15:00.000Z,EUR,,0,0
2018-01-24T08:30:00.000Z,EUR,med,1,0
2018-01-24T08:30:00.000Z,EUR,med,-1,0
2018-01-24T09:00:00.000Z,EUR,low,1,0
2018-01-24T09:00:00.000Z,EUR,med,-1,0
2018-01-24T09:00:00.000Z,EUR,med,1,0
2018-01-24T09:05:00.000Z,CNY,,0,0
2018-01-24T09:30:00.000Z,GBP,med,0,0
2018-01-24T09:30:00.000Z,GBP,med,0,0
2018-01-24T09:30:00.000Z,GBP,med,0,0
2018-01-24T09:30:00.000Z,GBP,med,0,0
2018-01-24T14:00:00.000Z,USD,med,-1,1
2018-01-24T14:45:00.000Z,USD,low,1,0
2018-01-24T15:00:00.000Z,USD,med,-1,-1
2018-01-24T21:00:00.000Z,NZD,,0,0
2018-01-24T21:45:00.000Z,NZD,med,-1,0
2018-01-25,EUR,high,0,0
2018-01-25T07:00:00.000Z,EUR,med,1,0
2018-01-25T09:00:00.000Z,EUR,high,-1,0
2018-01-25T09:00:00.000Z,EUR,high,1,1
2018-01-25T09:00:00.000Z,EUR,high,1,0
2018-01-25T11:00:00.000Z,GBP,med,0,0
2018-01-25T12:45:00.000Z,EUR,,0,0
2018-01-25T12:45:00.000Z,EUR,med,0,0
2018-01-25T13:30:00.000Z,CAD,high,-1,1
2018-01-25T13:30:00.000Z,CAD,high,1,0
2018-01-25T13:30:00.000Z,USD,med,1,1
2018-01-25T15:00:00.000Z,USD,med,-1,-1
2018-01-25T23:30:00.000Z,JPY,med,-1,0
2018-01-25T23:30:00.000Z,JPY,med,1,0
2018-01-25T23:30:00.000Z,JPY,,-1,0
2018-01-25T23:50:00.000Z,JPY,high,0,0
2018-01-26,AUD,,0,0
2018-01-26T07:45:00.000Z,EUR,med,1,0
2018-01-26T07:45:00.000Z,EUR,low,-1,0
2018-01-26T09:00:00.000Z,EUR,med,-1,0
2018-01-26T09:30:00.000Z,GBP,high,1,0
2018-01-26T09:30:00.000Z,GBP,high,1,0
2018-01-26T09:30:00.000Z,GBP,med,1,0
2018-01-26T09:30:00.000Z,GBP,med,0,0
2018-01-26T10:00:00.000Z,EUR,,0,0
2018-01-26T13:30:00.000Z,CAD,high,-1,0
2018-01-26T13:30:00.000Z,CAD,high,0,0
2018-01-26T13:30:00.000Z,USD,med,0,1
2018-01-26T13:30:00.000Z,USD,med,1,1
2018-01-26T13:30:00.000Z,USD,low,1,1
2018-01-26T13:30:00.000Z,USD,med,-1,-1
2018-01-26T13:30:00.000Z,USD,med,0,0
2018-01-26T13:30:00.000Z,USD,med,-1,0
2018-01-26T14:00:00.000Z,GBP,,0,0
2018-01-26T15:30:00.000Z,EUR,,0,0
2018-01-26T16:00:00.000Z,,,0,0
2018-01-29,EUR,,0,0
